Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED_ALT,LED_PLCC_2835_Handsoldering,60.5,-69.5,270.0,top
D2,LED_ALT,LED_PLCC_2835_Handsoldering,72.863636,-69.5,270.0,top
D3,LED_ALT,LED_PLCC_2835_Handsoldering,85.227272,-69.5,270.0,top
D4,LED_ALT,LED_PLCC_2835_Handsoldering,97.590908,-69.5,270.0,top
D5,LED_ALT,LED_PLCC_2835_Handsoldering,109.954544,-69.5,270.0,top
D6,LED_ALT,LED_PLCC_2835_Handsoldering,122.31818,-69.5,270.0,top
D7,LED_ALT,LED_PLCC_2835_Handsoldering,134.681816,-69.5,270.0,top
D8,LED_ALT,LED_PLCC_2835_Handsoldering,147.045452,-69.5,270.0,top
D9,LED_ALT,LED_PLCC_2835_Handsoldering,159.409088,-69.5,270.0,top
D10,LED_ALT,LED_PLCC_2835_Handsoldering,171.772724,-69.5,270.0,top
D11,LED_ALT,LED_PLCC_2835_Handsoldering,184.13636,-69.5,270.0,top
D12,LED_ALT,LED_PLCC_2835_Handsoldering,196.5,-69.5,270.0,top
R1,100R 0.5W,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,91.40909,-69.5,-90.0,top
R2,100R 0.5W,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,103.772726,-69.5,-90.0,top
R3,100R 0.5W,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,153.22727,-69.5,-90.0,top
R4,100R 0.5W,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,165.590906,-69.5,-90.0,top
