Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,33.5,-33.0,-90.0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.523603,-33.0,-90.0,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.679013,-33.0,-90.0,top
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,91.834423,-33.0,-90.0,top
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,105.989833,-33.0,-90.0,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.145243,-33.0,-90.0,top
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.300653,-33.0,-90.0,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,148.456063,-33.0,-90.0,top
C9,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,162.611473,-33.0,-90.0,top
C10,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,176.766883,-33.0,-90.0,top
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,190.922293,-33.0,-90.0,top
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,205.077703,-33.0,-90.0,top
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,219.233113,-33.0,-90.0,top
C14,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,233.388523,-33.0,-90.0,top
C15,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,247.543933,-33.0,-90.0,top
C16,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,261.699343,-33.0,-90.0,top
C17,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,275.989831,-33.0,-90.0,top
C18,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,290.280319,-33.0,-90.0,top
C19,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,304.435729,-33.0,-90.0,top
C20,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,318.591139,-33.0,-90.0,top
C21,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,332.746549,-33.0,-90.0,top
C22,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,359.75,-33.0,-90.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28.0,-33.0,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,42.15541,-33.0,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,56.31082,-33.0,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,70.46623,-33.0,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,84.62164,-33.0,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,98.77705,-33.0,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.93246,-33.0,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127.08787,-33.0,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,141.24328,-33.0,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,155.39869,-33.0,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,169.5541,-33.0,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,183.70951,-33.0,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,197.86492,-33.0,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,212.02033,-33.0,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,226.17574,-33.0,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,240.33115,-33.0,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,254.48656,-33.0,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,268.64197,-33.0,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,283.067536,-33.0,180.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,297.222946,-33.0,180.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,311.378356,-33.0,180.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,325.533766,-33.0,180.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,339.689176,-33.0,180.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,353.844586,-33.0,180.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,368.0,-33.0,180.0,top
