Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,33.5,-33.0,-90.0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.514223,-33.0,-90.0,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.665881,-33.0,-90.0,top
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,91.817539,-33.0,-90.0,top
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,105.969197,-33.0,-90.0,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.120855,-33.0,-90.0,top
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,148.424171,-33.0,-90.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28.0,-33.0,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,42.151658,-33.0,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,56.303316,-33.0,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,70.454974,-33.0,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,84.606632,-33.0,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,98.75829,-33.0,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.909948,-33.0,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127.061606,-33.0,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,141.213264,-33.0,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,155.364922,-33.0,180.0,top
