Comment,Designator,Footprint,LCSC
0.1uF,"C2,C1",HallEffect_XY:C_0805_2012Metric,C49678
1uF,"C7,C6,C5,C3,C4",HallEffect_XY:C_0805_2012Metric,C28323
10uF,C8,HallEffect_XY:C_0805_2012Metric,C15850
LED_0805,"D2,D1,D3",HallEffect_XY:LED_0805_2012Metric,C84256
CONN_01X04,J1,HallEffect_XY:PinHeader_1x04_P2.54mm_Vertical,C225490
1.00K,"R1,R3,R9,R10,R5",HallEffect_XY:R_0805_2012Metric,C17513
10.0k,"R4,R2",HallEffect_XY:R_0805_2012Metric,C17414
SS39ET,"U2,U1",HallEffect_XY:SOT-23,C126669
LM393,U3,HallEffect_XY:SOIC-8_3.9x4.9mm_P1.27mm,C7955
AP2127K-3.3,U4,HallEffect_XY:SOT-23-5,C156285
10.0K,"VR2,VR1",HallEffect_XY:CT6EP103,C118956
