"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","0.1uF","C_0603",149.2,-107.5,270,"top"
"C2","0.1uF","C_0603",149.1,-100.5,270,"top"
"C3","1uF","C_0603",135.3,-106.3,180,"top"
"C4","1uF","C_0603",135.3,-98.4,180,"top"
"C5","1uF","C_0603",128.5722,-105.9058,0,"top"
"C6","1uF","C_0603",175.6504,-99.124,270,"top"
"C7","1uF","C_0603",139.1,-98.9,270,"top"
"C8","10uF","C_0805",135.4,-104.2,180,"top"
"D1","LED_0805","LED_0805",125.75,-107,90,"top"
"D2","LED_0805","LED_0805",174.5582,-96.4316,0,"top"
"R1","1.00K","R_0603",149.2,-104.8,90,"top"
"R2","10.0k","R_0603",150.7,-107.5,270,"top"
"R3","1.00K","R_0603",149.1,-97.7,90,"top"
"R4","10.0k","R_0603",150.7,-100.5,270,"top"
"R9","1.00K","R_0603",128.508,-108.0902,0,"top"
"R10","1.00K","R_0603",173.6184,-99.0224,270,"top"
"U3","LM393","SOIC-8_3.9x4.9mm_Pitch1.27mm",142.8,-101.2,90,"top"
"U4","AP2210N","SOT-23",135.5,-101.2,0,"top"
