" Quantity";"Reference";" Value";" MFG PN";" Digikey P/N"
86;"C115 C116 C117 C118 C120 C122 C124 C126 C125 C119 C1 C3 C5 C7 C13 C27 C17 C11 C2 C4 C6 C8 C14 C19 C18 C12 C26 C30 C33 C35 C41 C47 C45 C39 C28 C32 C34 C36 C42 C48 C46 C40 C57 C59 C61 C63 C69 C75 C73 C67 C58 C60 C62 C64 C70 C76 C74 C68 C85 C87 C89 C91 C97 C103 C101 C95 C86 C88 C90 C92 C98 C104 C102 C96 C139 C142 C140 C143 C141 C144 C153 C154 C155 C156 C113 C114 ";"100nF";"CC0603KRX7R9BB104";"311-1344-1-ND"
4;"C121 C127 C147 C146 ";"10uF";"CL21A106KOQNNWE";"1276-2894-1-ND"
4;"C123 C128 C145 C148 ";"1uF";"CL10B105KP8NNNC";"1276-1946-1-ND"
10;"C129 C131 C133 C132 C130 C134 C136 C138 C137 C135 ";"2.2uF";"LMK107B7225KA-T";"587-2983-1-ND"
32;"C15 C21 C25 C29 C16 C20 C23 C24 C43 C49 C52 C55 C44 C50 C54 C56 C71 C77 C80 C83 C72 C78 C82 C84 C99 C105 C108 C111 C100 C106 C110 C112 ";"1nF";"CC0603KRX7R9BB102";"311-1080-1-ND"
6;"C151 C152 C159 C161 C162 C160 ";"10uF";"C1210C106M6PACTU";"399-5509-1-ND"
1;"C163 ";"8.2nF";"C1608C0G1H822K080AA";"445-13992-6-ND"
1;"C164 ";"10nF";"06035C103KAT2A";"478-1227-1-ND"
10;"C31 C22 C51 C53 C79 C81 C107 C109 C149 C150 ";"100uF";"EMZR500ARA101MF80G";"565-5153-1-ND"
10;"C9 C10 C37 C38 C65 C66 C93 C94 C157 C158 ";"22nF";"CL10B223KB8WPNC";"311-3601-1-ND"
4;"D11 D12 D13 D14 ";"Blue";"150080BS75000";"732-4982-1-ND"
5;"D15 D16 D17 D18 D19 ";"DB2W40300L";"DB2W40300L";"DB2W40300LCT-ND"
9;"D3 D4 D2 D1 D5 D7 D10 D8 D6 ";"Red";"150080SS75000";"732-4985-1-ND"
