Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603",43.125000,-27.300000,180.000000,top
"C2","100nF","C_0603",63.175000,-27.300000,180.000000,top
"C3","100nF","C_0603",33.250000,-17.000000,0.000000,top
"C4","100nF","C_0603",53.300000,-17.000000,0.000000,top
"C5","100nF","C_0603",38.500000,-13.845400,270.000000,top
"C6","100nF","C_0603",58.550000,-13.845400,270.000000,top
"C7","100nF","C_0603",42.400000,-16.650000,180.000000,top
"C8","100nF","C_0603",62.450000,-16.650000,180.000000,top
"C9","22nF","C_0603",36.500000,-13.845400,270.000000,top
"C10","22nF","C_0603",56.550000,-13.845400,270.000000,top
"C11","100nF","C_0603",46.750000,-25.975000,0.000000,top
"C12","100nF","C_0603",66.800000,-25.975000,0.000000,top
"C13","100nF","C_0603",33.250000,-19.500000,0.000000,top
"C14","100nF","C_0603",53.300000,-19.500000,0.000000,top
"C15","1nF","C_0603",32.190000,-9.000000,90.000000,top
"C16","1nF","C_0603",52.240000,-9.000000,90.000000,top
"C17","100nF","C_0603",34.425000,-26.000000,180.000000,top
"C18","100nF","C_0603",54.475000,-26.000000,180.000000,top
"C19","100nF","C_0603",67.525000,-19.075000,0.000000,top
"C20","1nF","C_0603",54.780000,-9.000000,90.000000,top
"C21","1nF","C_0603",34.730000,-9.000000,90.000000,top
"C22","100uF","CP_Elec_6.3x7.7",66.050000,-5.700000,90.000000,top
"C23","1nF","C_0603",57.320000,-9.000000,90.000000,top
"C24","1nF","C_0603",59.860000,-9.000000,90.000000,top
"C25","1nF","C_0603",37.270000,-9.000000,90.000000,top
"C26","100nF","C_0603",83.167000,-27.300000,180.000000,top
"C27","100nF","C_0603",47.475000,-19.075000,0.000000,top
"C28","100nF","C_0603",103.125000,-27.300000,180.000000,top
"C29","1nF","C_0603",39.810000,-9.000000,90.000000,top
"C30","100nF","C_0603",73.250000,-17.000000,0.000000,top
"C31","100uF","CP_Elec_6.3x7.7",46.000000,-5.700000,90.000000,top
"C32","100nF","C_0603",93.250000,-17.000000,0.000000,top
"C33","100nF","C_0603",78.500000,-13.845400,270.000000,top
"C34","100nF","C_0603",98.500000,-13.845400,270.000000,top
"C35","100nF","C_0603",82.400000,-16.650000,180.000000,top
"C36","100nF","C_0603",102.400000,-16.650000,180.000000,top
"C37","22nF","C_0603",76.500000,-13.845400,270.000000,top
"C38","22nF","C_0603",96.500000,-13.845400,270.000000,top
"C39","100nF","C_0603",86.750000,-25.975000,0.000000,top
"C40","100nF","C_0603",106.750000,-25.975000,0.000000,top
"C41","100nF","C_0603",73.250000,-19.500000,0.000000,top
"C42","100nF","C_0603",93.250000,-19.500000,0.000000,top
"C43","1nF","C_0603",72.190000,-9.000000,90.000000,top
