"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","4.7uF","C_0805_2012Metric",99.775,-73.78,-0,"bottom"
"C2","4.7uF","C_0805_2012Metric",99.775,-80.13,-0,"bottom"
"C3","0.1uF","C_0805_2012Metric",107.37,-62.6525,90,"bottom"
"C4","0.1uF","C_0805_2012Metric",121.17,-61.4,-0,"bottom"
"J1","USB_B_Micro","MolexVertical&Horizontal_MicroB",87.92,-67.15,90,"bottom"
"J5","SWD Header","PinHeader_2x05_P1.27mm_Vertical_SMD",107.57,-78.9,90,"bottom"
"R1","10K","R_0805_2012Metric",118.03,-79.1625,90,"bottom"
"R2","10K","R_0805_2012Metric",124.392,-58.438,-0,"bottom"
"R3","10K","R_0805_2012Metric",115.49,-79.1625,90,"bottom"
"U1","AP2127K-3.3","SOT-23-5",99.775,-76.955,90,"bottom"
"U2","STM32F042F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",113.47,-61.74,270,"bottom"
"U3","74LVC1G17","SOT-753",153.242,-54.9,180,"bottom"
