"Comment","Designator","Footprint","LCSC"
"4.7uF","C1,C2","Capacitor_SMD:C_0805_2012Metric","C1779"
"0.1uF","C3,C4","Capacitor_SMD:C_0805_2012Metric","C49678"
"WS2812B","D1","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",
"Conn_01x03","GPIO1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3",
"USB_B_Micro","J1","Connector_USB:USB_Micro-B_Molex-105017-0001",
"I2C Header 1","J2","TRA_KiCad_Footprints:1pt3in_OLED",
"Conn_01x03","J3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",
"Conn_01x02","J4,J8","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",
"SWD Header","J5","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD",
"I2C Header 2","J6","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",
"USB_Header","J7","TRA_KiCad_Footprints:01x04_unpopulated",
"10K","R2,R1,R3","Resistor_SMD:R_0805_2012Metric","C17414"
"SW_SPST","SW1,SW2,SW3,SW4","Button_Switch_THT:SW_PUSH_6mm_H9.5mm",
"SW_SPST","SW5,SW6","Button_Switch_THT:SW_PUSH_6mm",
"Rotary_Encoder_Switch","SW7","TRA_KiCad_Footprints:EN11_Encoder",
"AP2127K-3.3","U1","Package_TO_SOT_SMD:SOT-23-5","C156285"
"STM32F042F6Px","U2","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C81000"
"74LVC1G17","U3","digikey-footprints:SOT-753","C6076"
