Comment,Designator,Footprint,LCSC
"4.7uF","C1,C2","Voron0 2040 display:C_0603_1608Metric","C326580"
"30pf","C3,C4","Voron0 2040 display:C_0402_1005Metric","C526980"
"0.1uf","C5,C6,C7,C8,C11,C12,C13,C14,C15,C16,C17","Voron0 2040 display:C_0402_1005Metric","C129131"
"1uf","C9,C10","Voron0 2040 display:C_0402_1005Metric","C106254"
"WS2812B","D1","Voron0 2040 display:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","C114586"
"USB4145-03-0230-C_REVA2","J1","USB4145-03-0230-C_REVA2:GCT_USB4145-03-0230-C_REVA2","C5291559"
"120R 100MHZ","L1","Voron0 2040 display:L_0402_1005Metric","C107331"
"1K","R1","Voron0 2040 display:R_0603_1608Metric","C4295595"
"1k","R2","Voron0 2040 display:R_0402_1005Metric","C852624"
"10k","R3,R4","Voron0 2040 display:R_0603_1608Metric","C2139679"
"5.1K","R5,R6","Voron0 2040 display:R_0402_1005Metric","C105873"
"27R","R7,R8","Voron0 2040 display:R_0402_1005Metric","C137890"
"RESET","SW1","Library:SW_Push_1P1T_NO_4.5x4.5mm","C843607"
"BOOTSEL","SW5","Library:SW_Push_1P1T_NO_4.5x4.5mm","C843607"
"Killswitch","SW6","Library:SW_Push_1P1T_NO_4.5x4.5mm","C843607"
"AP2127K-3.3","U1","Voron0 2040 display:SOT-23-5","C156285"
"USBLC6-2P6","U2","Voron0 2040 display:SOT-666","C2827693"
"74LVC1G17","U3","Voron0 2040 display:SOT-753","C6076"
"W25Q16JVUXIQ_TR","U4","Voron0 2040 display:IC_W25Q16JVUXIQ_TR","C2843335"
"RP2040","U5","Voron0 2040 display:RP2040-QFN-56","C2040"
"12Mhz","Y1","Voron0 2040 display:Crystal_SMD_3225-4Pin_3.2x2.5mm","C133334"
