Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric",100.070000,-67.205000,-90.000000,bottom
"C2","4.7uF","C_0603_1608Metric",105.520000,-66.975000,90.000000,bottom
"C3","30pf","C_0402_1005Metric",118.760000,-60.220000,90.000000,bottom
"C4","30pf","C_0402_1005Metric",124.070000,-62.160000,90.000000,bottom
"C5","0.1uf","C_0402_1005Metric",117.320000,-77.550000,-90.000000,bottom
"C6","0.1uf","C_0402_1005Metric",119.770000,-64.800000,0.000000,bottom
"C7","0.1uf","C_0402_1005Metric",106.020000,-61.750000,180.000000,bottom
"C8","0.1uf","C_0402_1005Metric",107.080000,-77.990000,90.000000,bottom
"C9","1uf","C_0402_1005Metric",107.270000,-64.950000,180.000000,bottom
"C10","1uf","C_0402_1005Metric",107.270000,-67.000000,180.000000,bottom
"C11","0.1uf","C_0402_1005Metric",119.770000,-63.800000,0.000000,bottom
"C12","0.1uf","C_0402_1005Metric",109.120000,-58.150000,180.000000,bottom
"C13","0.1uf","C_0402_1005Metric",115.620000,-57.950000,0.000000,bottom
"C14","0.1uf","C_0402_1005Metric",109.920000,-68.050000,180.000000,bottom
"C15","0.1uf","C_0402_1005Metric",115.020000,-67.750000,0.000000,bottom
"C16","0.1uf","C_0402_1005Metric",107.270000,-66.000000,180.000000,bottom
"C17","0.1uf","C_0402_1005Metric",106.620000,-63.250000,180.000000,bottom
"J1","USB4145-03-0230-C_REVA2","GCT_USB4145-03-0230-C_REVA2",91.270000,-66.900000,90.000000,bottom
"L1","120R 100MHZ","L_0402_1005Metric",107.770000,-68.050000,0.000000,bottom
"R1","1K","R_0603_1608Metric",119.360000,-78.260000,90.000000,bottom
"R2","1k","R_0402_1005Metric",118.750000,-62.160000,-90.000000,bottom
"R3","10k","R_0603_1608Metric",115.150000,-69.750000,-90.000000,bottom
"R4","10k","R_0603_1608Metric",113.690000,-69.750000,-90.000000,bottom
"R7","27R","R_0402_1005Metric",104.050000,-63.190000,180.000000,bottom
"R8","27R","R_0402_1005Metric",104.030000,-64.190000,0.000000,bottom
"U1","AP2127K-3.3","SOT-23-5",102.820000,-67.295000,0.000000,bottom
"U2","USBLC6-2P6","SOT-666",101.195000,-62.450000,0.000000,bottom
"U3","74LVC1G17","SOT-753",124.810000,-66.900000,90.000000,bottom
"U4","W25Q16JVUXIQ_TR","IC_W25Q16JVUXIQ_TR",104.130000,-58.377500,-90.000000,bottom
"U5","RP2040","RP2040-QFN-56",113.000000,-63.000000,-90.000000,bottom
"Y1","12Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",121.420000,-60.500000,180.000000,bottom
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",159.920000,-62.150000,0.000000,top
"R5","5.1K","R_0402_1005Metric",92.190000,-72.600000,180.000000,top
"R6","5.1K","R_0402_1005Metric",92.200000,-61.300000,0.000000,top
