Comment,Designator,Footprint,LCSC
"4.7uF","C1,C2","Library:C_0603_1608Metric","C19666"
"30pf","C3,C4","Library:C_0402_1005Metric","C526980"
"0.1uf","C5,C6,C7,C8,C11,C12,C13,C14,C15,C16,C17","Library:C_0402_1005Metric","C1525"
"1uf","C9,C10","Library:C_0402_1005Metric","C52923"
"WS2812B","D1","Library:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","C2761795"
"USB_B_Micro","J4","Library:MolexVertical&Horizontal_MicroB","C136000"
"120R 100MHZ","L1","Library:L_0402_1005Metric","C107331"
"1K","R1","Library:R_0603_1608Metric","C21190"
"1k","R2","Library:R_0603_1608Metric","C21190"
"10k","R3,R4,R9","Library:R_0603_1608Metric","C25804"
"27R","R7,R8","Library:R_0402_1005Metric","C137890"
"RESET","SW1","Library:SW_Push_1P1T_NO_4.5x4.5mm","C843607"
"BOOTSEL","SW5","Library:SW_Push_1P1T_NO_4.5x4.5mm","C843607"
"Killswitch","SW6","Library:SW_Push_1P1T_NO_4.5x4.5mm","C843607"
"AP2127K-3.3","U1","Library:SOT-23-5","C156285"
"USBLC6-2P6","U2","Library:SOT-666","C2827693"
"74LVC1G17","U3","Library:SOT-753","C6076"
"W25Q16JVUXIQ_TR","U4","Library:IC_W25Q16JVUXIQ_TR","C2843335"
"RP2040","U5","Library:RP2040-QFN-56","C2040"
"12Mhz","Y1","Library:Crystal_SMD_3225-4Pin_3.2x2.5mm","C133334"
