Comment,Designator,Footprint,LCSC
"WS2812B","D1","V0-Display:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",""
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_2.7mm_M2.5",""
"I2C Header 1","J2","V0-Display:1pt3in_OLED",""
"USB_Header","J7","V0-Display:PinHeader_1x04_P2.54mm_Vertical",""
"Conn_01x02","J8","V0-Display:PinHeader_1x02_P2.54mm_Vertical",""
"Pin2","JP1","V0-Display:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm",""
"Pin1","JP2","V0-Display:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm",""
"10K","R1","V0-Display:R_0805_2012Metric","C17414"
"SW_SPST","SW5,SW6","V0-Display:SW_PUSH_6mm",""
"Rotary_Encoder_Switch","SW7","V0-Display:EN11_Encoder",""
"SerialPad","TP1","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm",""
"Pico","U1","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH",""
"74LVC1G17","U3","V0-Display:SOT-753","C6076"
